Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,087031,2019,04,11,11.9,1,N
IDCJAC0011,087031,2019,04,12,4.6,1,N
IDCJAC0011,087031,2019,04,13,8.1,1,N
IDCJAC0011,087031,2019,04,14,12.5,1,N
IDCJAC0011,087031,2019,04,15,11.9,1,N
IDCJAC0011,087031,2019,04,16,18.1,1,N
IDCJAC0011,087031,2019,04,17,21.8,1,N
IDCJAC0011,087031,2019,04,18,10.2,1,N
IDCJAC0011,087031,2019,04,19,7.2,1,N
IDCJAC0011,087031,2019,04,20,6.9,1,N
IDCJAC0011,087031,2019,04,21,16.1,1,N
IDCJAC0011,087031,2019,04,22,14.3,1,N
IDCJAC0011,087031,2019,04,23,8.1,1,N
IDCJAC0011,087031,2019,04,24,14.6,1,N
IDCJAC0011,087031,2019,04,25,7.6,1,N
IDCJAC0011,087031,2019,04,26,11.3,1,N
IDCJAC0011,087031,2019,04,27,5.5,1,N
IDCJAC0011,087031,2019,04,28,12.0,1,N
IDCJAC0011,087031,2019,04,29,7.5,1,N
IDCJAC0011,087031,2019,04,30,5.5,1,N
IDCJAC0011,087031,2019,05,01,15.7,1,Y
IDCJAC0011,087031,2019,05,02,15.7,1,Y
IDCJAC0011,087031,2019,05,03,9.6,1,Y
IDCJAC0011,087031,2019,05,04,11.8,1,Y
IDCJAC0011,087031,2019,05,05,10.1,1,Y
IDCJAC0011,087031,2019,05,06,8.3,1,Y
IDCJAC0011,087031,2019,05,07,5.6,1,Y
IDCJAC0011,087031,2019,05,08,9.9,1,Y
IDCJAC0011,087031,2019,05,09,7.8,1,Y
IDCJAC0011,087031,2019,05,10,9.7,1,Y
IDCJAC0011,087031,2019,05,11,8.4,1,Y
IDCJAC0011,087031,2019,05,12,11.6,1,Y
IDCJAC0011,087031,2019,05,13,11.3,1,Y
IDCJAC0011,087031,2019,05,14,10.6,1,Y
IDCJAC0011,087031,2019,05,15,9.8,1,Y
IDCJAC0011,087031,2019,05,16,9.6,1,Y
IDCJAC0011,087031,2019,05,17,3.7,1,Y
IDCJAC0011,087031,2019,05,18,3.2,1,Y
IDCJAC0011,087031,2019,05,19,6.1,1,Y
IDCJAC0011,087031,2019,05,20,9.5,1,Y
IDCJAC0011,087031,2019,05,21,10.0,1,Y
IDCJAC0011,087031,2019,05,22,9.0,1,Y
IDCJAC0011,087031,2019,05,23,9.3,1,Y
IDCJAC0011,087031,2019,05,24,14.6,1,Y
IDCJAC0011,087031,2019,05,25,10.4,1,Y
IDCJAC0011,087031,2019,05,26,7.2,1,Y
IDCJAC0011,087031,2019,05,27,6.1,1,Y
IDCJAC0011,087031,2019,05,28,7.1,1,Y
IDCJAC0011,087031,2019,05,29,7.2,1,Y
IDCJAC0011,087031,2019,05,30,4.4,1,Y
IDCJAC0011,087031,2019,05,31,7.5,1,Y
IDCJAC0011,087031,2019,06,01,11.5,1,Y
IDCJAC0011,087031,2019,06,02,10.3,1,Y
IDCJAC0011,087031,2019,06,03,8.0,1,Y
IDCJAC0011,087031,2019,06,04,6.7,1,Y
IDCJAC0011,087031,2019,06,05,8.7,1,Y
IDCJAC0011,087031,2019,06,06,9.8,1,Y
IDCJAC0011,087031,2019,06,07,11.0,1,Y
IDCJAC0011,087031,2019,06,08,4.6,1,Y
IDCJAC0011,087031,2019,06,09,9.9,1,Y
IDCJAC0011,087031,2019,06,10,11.7,1,Y
IDCJAC0011,087031,2019,06,11,7.8,1,Y
IDCJAC0011,087031,2019,06,12,12.0,1,Y
IDCJAC0011,087031,2019,06,13,7.3,1,Y
IDCJAC0011,087031,2019,06,14,9.3,1,Y
IDCJAC0011,087031,2019,06,15,6.6,1,Y
IDCJAC0011,087031,2019,06,16,7.8,1,Y
IDCJAC0011,087031,2019,06,17,5.6,1,Y
IDCJAC0011,087031,2019,06,18,8.5,1,Y
IDCJAC0011,087031,2019,06,19,2.6,1,Y
IDCJAC0011,087031,2019,06,20,6.2,1,Y
IDCJAC0011,087031,2019,06,21,2.9,1,Y
IDCJAC0011,087031,2019,06,22,5.0,1,Y
IDCJAC0011,087031,2019,06,23,1.6,1,Y
IDCJAC0011,087031,2019,06,24,1.4,1,Y
IDCJAC0011,087031,2019,06,25,0.4,1,Y
IDCJAC0011,087031,2019,06,26,2.4,1,Y
IDCJAC0011,087031,2019,06,27,6.7,1,Y
IDCJAC0011,087031,2019,06,28,10.9,1,Y
IDCJAC0011,087031,2019,06,29,12.5,1,Y
IDCJAC0011,087031,2019,06,30,7.5,1,Y
IDCJAC0011,087031,2019,07,01,7.4,1,Y
IDCJAC0011,087031,2019,07,02,8.3,1,Y
IDCJAC0011,087031,2019,07,03,5.8,1,Y
IDCJAC0011,087031,2019,07,04,2.9,1,Y
IDCJAC0011,087031,2019,07,05,0.8,1,Y
IDCJAC0011,087031,2019,07,06,4.0,1,Y
IDCJAC0011,087031,2019,07,07,6.4,1,Y
IDCJAC0011,087031,2019,07,08,7.3,1,Y
IDCJAC0011,087031,2019,07,09,5.3,1,Y
IDCJAC0011,087031,2019,07,10,8.9,1,Y
IDCJAC0011,087031,2019,07,11,7.7,1,Y
IDCJAC0011,087031,2019,07,12,10.3,1,Y
IDCJAC0011,087031,2019,07,13,5.9,1,Y
IDCJAC0011,087031,2019,07,14,4.6,1,Y
IDCJAC0011,087031,2019,07,15,8.4,1,Y
IDCJAC0011,087031,2019,07,16,9.3,1,Y
IDCJAC0011,087031,2019,07,17,8.9,1,Y
IDCJAC0011,087031,2019,07,18,5.9,1,Y
IDCJAC0011,087031,2019,07,19,5.7,1,Y
IDCJAC0011,087031,2019,07,20,8.2,1,Y
IDCJAC0011,087031,2019,07,21,10.8,1,Y
IDCJAC0011,087031,2019,07,22,6.1,1,Y
IDCJAC0011,087031,2019,07,23,8.8,1,Y
IDCJAC0011,087031,2019,07,24,4.2,1,Y
IDCJAC0011,087031,2019,07,25,7.5,1,Y
IDCJAC0011,087031,2019,07,26,10.6,1,Y
IDCJAC0011,087031,2019,07,27,5.3,1,Y
IDCJAC0011,087031,2019,07,28,4.1,1,Y
IDCJAC0011,087031,2019,07,29,6.9,1,Y
IDCJAC0011,087031,2019,07,30,6.2,1,Y
IDCJAC0011,087031,2019,07,31,1.0,1,Y
IDCJAC0011,087031,2019,08,01,6.7,1,Y
IDCJAC0011,087031,2019,08,02,8.7,1,Y
IDCJAC0011,087031,2019,08,03,9.2,1,Y
IDCJAC0011,087031,2019,08,04,7.1,1,Y
IDCJAC0011,087031,2019,08,05,8.3,1,Y
IDCJAC0011,087031,2019,08,06,8.6,1,Y
IDCJAC0011,087031,2019,08,07,8.6,1,Y
IDCJAC0011,087031,2019,08,08,5.3,1,Y
IDCJAC0011,087031,2019,08,09,7.1,1,Y
IDCJAC0011,087031,2019,08,10,1.7,1,Y
IDCJAC0011,087031,2019,08,11,4.0,1,Y
IDCJAC0011,087031,2019,08,12,6.3,1,Y
IDCJAC0011,087031,2019,08,13,6.3,1,Y
IDCJAC0011,087031,2019,08,14,8.5,1,Y
IDCJAC0011,087031,2019,08,15,7.4,1,Y
IDCJAC0011,087031,2019,08,16,9.9,1,Y
IDCJAC0011,087031,2019,08,17,5.8,1,Y
IDCJAC0011,087031,2019,08,18,8.4,1,Y
IDCJAC0011,087031,2019,08,19,4.0,1,Y
IDCJAC0011,087031,2019,08,20,6.5,1,Y
IDCJAC0011,087031,2019,08,21,11.3,1,Y
IDCJAC0011,087031,2019,08,22,9.0,1,Y
IDCJAC0011,087031,2019,08,23,1.3,1,Y
IDCJAC0011,087031,2019,08,24,7.8,1,Y
IDCJAC0011,087031,2019,08,25,3.2,1,Y
IDCJAC0011,087031,2019,08,26,2.3,1,Y
IDCJAC0011,087031,2019,08,27,3.6,1,Y
IDCJAC0011,087031,2019,08,28,5.8,1,Y
IDCJAC0011,087031,2019,08,29,4.6,1,Y
IDCJAC0011,087031,2019,08,30,0.3,1,Y
IDCJAC0011,087031,2019,08,31,3.0,1,Y
IDCJAC0011,087031,2019,09,01,11.5,1,N
IDCJAC0011,087031,2019,09,02,5.4,1,N
IDCJAC0011,087031,2019,09,03,6.9,1,N
IDCJAC0011,087031,2019,09,04,5.7,1,N
IDCJAC0011,087031,2019,09,05,7.0,1,N
IDCJAC0011,087031,2019,09,06,9.9,1,N
IDCJAC0011,087031,2019,09,07,7.9,1,N
IDCJAC0011,087031,2019,09,08,3.8,1,N
IDCJAC0011,087031,2019,09,09,5.9,1,N
IDCJAC0011,087031,2019,09,10,5.3,1,N
IDCJAC0011,087031,2019,09,11,3.7,1,N
IDCJAC0011,087031,2019,09,12,11.2,1,N
IDCJAC0011,087031,2019,09,13,7.2,1,N
IDCJAC0011,087031,2019,09,14,4.9,1,N
IDCJAC0011,087031,2019,09,15,12.4,1,N
IDCJAC0011,087031,2019,09,16,8.8,1,N
IDCJAC0011,087031,2019,09,17,7.0,1,N
IDCJAC0011,087031,2019,09,18,2.2,1,N
IDCJAC0011,087031,2019,09,19,5.3,1,N
IDCJAC0011,087031,2019,09,20,16.5,1,N
IDCJAC0011,087031,2019,09,21,13.6,1,N
IDCJAC0011,087031,2019,09,22,4.0,1,N
IDCJAC0011,087031,2019,09,23,7.8,1,N
IDCJAC0011,087031,2019,09,24,4.2,1,N
IDCJAC0011,087031,2019,09,25,4.9,1,N
IDCJAC0011,087031,2019,09,26,4.1,1,N
IDCJAC0011,087031,2019,09,27,10.4,1,N
IDCJAC0011,087031,2019,09,28,4.1,1,N
IDCJAC0011,087031,2019,09,29,7.1,1,N
IDCJAC0011,087031,2019,09,30,6.6,1,N
IDCJAC0011,087031,2019,10,01,0.5,1,N
IDCJAC0011,087031,2019,10,02,4.7,1,N
IDCJAC0011,087031,2019,10,03,15.4,1,N
IDCJAC0011,087031,2019,10,04,11.6,1,N
IDCJAC0011,087031,2019,10,05,8.5,1,N
IDCJAC0011,087031,2019,10,06,11.7,1,N
IDCJAC0011,087031,2019,10,07,10.2,1,N
IDCJAC0011,087031,2019,10,08,8.7,1,N
IDCJAC0011,087031,2019,10,09,6.8,1,N
IDCJAC0011,087031,2019,10,10,8.6,1,N
IDCJAC0011,087031,2019,10,11,9.7,1,N
IDCJAC0011,087031,2019,10,12,6.2,1,N
IDCJAC0011,087031,2019,10,13,6.6,1,N
IDCJAC0011,087031,2019,10,14,13.2,1,N
IDCJAC0011,087031,2019,10,15,12.0,1,N
IDCJAC0011,087031,2019,10,16,12.3,1,N
IDCJAC0011,087031,2019,10,17,7.1,1,N
IDCJAC0011,087031,2019,10,18,4.9,1,N
IDCJAC0011,087031,2019,10,19,6.9,1,N
IDCJAC0011,087031,2019,10,20,6.7,1,N
IDCJAC0011,087031,2019,10,21,10.7,1,N
IDCJAC0011,087031,2019,10,22,10.7,1,N
IDCJAC0011,087031,2019,10,23,4.9,1,N
IDCJAC0011,087031,2019,10,24,10.2,1,N
IDCJAC0011,087031,2019,10,25,15.3,1,N
IDCJAC0011,087031,2019,10,26,8.4,1,N
IDCJAC0011,087031,2019,10,27,8.0,1,N
IDCJAC0011,087031,2019,10,28,4.9,1,N
IDCJAC0011,087031,2019,10,29,6.6,1,N
IDCJAC0011,087031,2019,10,30,11.0,1,N
IDCJAC0011,087031,2019,10,31,12.0,1,N
IDCJAC0011,087031,2019,11,01,20.5,1,N
IDCJAC0011,087031,2019,11,02,15.0,1,N
IDCJAC0011,087031,2019,11,03,11.1,1,N
IDCJAC0011,087031,2019,11,04,7.1,1,N
IDCJAC0011,087031,2019,11,05,4.4,1,N
IDCJAC0011,087031,2019,11,06,11.1,1,N
IDCJAC0011,087031,2019,11,07,9.8,1,N
IDCJAC0011,087031,2019,11,08,9.2,1,N
IDCJAC0011,087031,2019,11,09,5.7,1,N
IDCJAC0011,087031,2019,11,10,10.8,1,N
IDCJAC0011,087031,2019,11,11,8.4,1,N
IDCJAC0011,087031,2019,11,12,11.3,1,N
